ja_001   私は静かで綺麗な所に住みたいです。
ja_002   この料理は家庭で作れます。
ja_003   東京は晴れでした。
ja_004   うちの中学は弁当制で、持って行けない場合は、五十円の学校販売のパンを買う。
ja_005   野球の後のビールぐらい、うまいものはない。
ja_006   大昔のフィリピンには、豊かな土地があった。
ja_007   あの人は足が細くて、長いです。
ja_008   先月隣の町にデパートができました。
ja_009   それは今日の新聞です。
ja_010   お化けはお化けでも、目もなければ鼻もない、ノッペラボウの一種である。
ja_011   ピラミッドを築くだけの苦労が、そこにそそがれたはずであった。
ja_012   私は今お金がありません。
ja_013   毎日忙しいので、あまり休むことができません。
ja_014   事故原因の究明は、急いでもらいたい。
ja_015   空が少し曇ってきました。
ja_016   英語で話すのは難しいです。
ja_017   目が悪いので、眼鏡をかけます。
ja_018   今日の授業はここまでです。それでは、また来週、会いましょう。
ja_019   一昨日デパートで新しい靴を買いました。
ja_020   私たちは、静かに歩み寄り、頭を下げた。
ja_021   主人に甘え、社会に甘え、自分に甘えて、ぬるま湯に、どっぷり浸っている。
ja_022   今日の夕飯はカレーを作ろうと思います。
ja_023   暗い部屋で本を読んでいたので、目が疲れました。
ja_024   母に誕生日のプレゼントをあげました。
ja_025   私は左手で箸を持ちます。
ja_026   空が青いです。
ja_027   熱いお茶が飲みたいです。
ja_028   暑いので、セーターを脱ぎます。
ja_029   仕事が終わったら、夕飯を食べに行きます。
ja_030   ゆらゆら電球が揺れて、影が、草の上をちらちらした。
ja_031   テストはできましたか。それでは、出してください。
ja_032   あそこに丸い箱があります。
ja_033   普通、中距離トラックのドライバーは、中年の人が多い。
ja_034   ギンザケの卵を輸入して、孵化させ、海中で育てる養殖も始まっている。
ja_035   明日忘れないで、本を返します。
ja_036   もっと安い部屋を探そうと思います。
ja_037   ぶらぶらと、球場まで十分足らずの道を歩いていく。
ja_038   日本語の勉強は楽しいです。
ja_039   皆さんが行くなら、私も行きます。
ja_040   検札に来た車掌も、見て見ぬふりである。
ja_041   昨日のパーティーはとても楽しかったです。
ja_042   出口のない、飛行中の航空機の異変は、恐怖の極限状況と言って良い。
ja_043   明日イさんに電話をします。
ja_044   暑かったので、家へ帰って、シャワーを浴びました。
ja_045   立派なな大人になりたいです。
ja_046   月曜日は朝から学校へ行きます。
ja_047   はい、そうです。
ja_048   私はこの歌が一番好きです。
ja_049   このエレベーターは二階から九階まで止まります。
ja_050   屋根には、気密式の電動ドリルで穴を開け、生じる粉塵は、どんどん吸引する。
ja_051   今、何時何分ですか。
ja_052   当時、日本一の長距離バスである。
ja_053   夏は毎日帽子をかぶって出かけます。
ja_054   はい、わかりました。
ja_055   おそらく、他にも、遺書を書いた人はいるはずだ。
ja_056   図書館で本を三冊借りました。
ja_057   今ちょうど晩御飯を食べているところです。
ja_058   老人ホームの場合は、健康器具や、膝掛けだ。
ja_059   久しぶりに、懐かしい人間味に触れて、心和んだ夜だった。
ja_060   夕方犬と公園へ散歩に行きました。
ja_061   出かけるとき、電気を消すのを忘れました。
ja_062   図書館で山田さんと一緒に勉強します。
ja_063   先生、こちらが私の母です。
ja_064   来週、美容院で髪を切ろうと思っています。
ja_065   私は父に花をあげました。
ja_066   木村さんはお菓子を七つ作りました。
ja_067   私の部屋に机やベッドやテレビなどがあります。
ja_068   私は明日大使館へ行きます。
ja_069   ゆうべは疲れていたので、早く寝ました。
ja_070   時々、狭い敷地の罅の入った直線コースで、子供が、キャッチボールをやっている。
ja_071   外人サンは、完璧主義である。
ja_072   翌年、父の選挙を手伝って、遊説行脚のマネージャーを勤めた。
ja_073   昨日はテレビを見ました。それから、日本語を勉強しました。
ja_074   答えを書いた紙を出してください。
ja_075   毎晩寝る前に本を読みます。
ja_076   旅行でたくさん写真を撮りました。
ja_077   七日までにお金の振り込みをします。
ja_078   窓口でお金の振り込みをします。
ja_079   小林さんは青い傘を持っています。
ja_080   もっと安い服を買います。
ja_081   本屋で雑誌を買いました。
ja_082   あの八百屋のおじさんはいつも元気です。
ja_083   熱で潤んだ青い空に、積乱雲がある。
ja_084   日本の料理はどうですか。
ja_085   日本の球場では、よく、口汚いののしり声が、耳に入る。
ja_086   私が一番古い友達というので、碑文に、一筆すすめられた。
ja_087   あの人はとても足が長いです。
ja_088   カバンの中にノートがあります。
ja_089   女性とは逆で、何とか常識を破って、目立ってやろうと、意気込む人がほとんどだ。
ja_090   人が大勢死にました。
ja_091   私たちの社会は、言葉によるコミュニケーションによって、支えられている。
ja_092   私は警官に名前を聞かれました。
ja_093   イさんからもらったお菓子を一個食べました。
ja_094   この箱は縦が短くて、横が長いです。
ja_095   このホテルの部屋はとても綺麗です。
ja_096   彼も、初球を本塁打して、劇的なサヨナラ勝ちを収めた。
ja_097   クィーンズアベニューアルファに所属している
ja_098   気象庁がこの呼称を発表したのは、地震発生後、四時間あまりたってからだった。
ja_099   これは、漁民たちの日常経験である。
ja_100   このカレーはとても辛いです。
