uz_001	Majlis batamom intihosiga yetgandi
uz_002	Zеbi uyqusirаb kеlib, fоnаrni bаlаndlаtdi
uz_003	Uyqu sifatiga e’tibor bering
uz_004	Sigir orqamdan ergashib kelardi
uz_005	Maratning o‘limidan so‘ng inqilobiy telbalik boshlanadi
uz_006	Qosimni ham chaqirtirib kelishdi
uz_007	Bo‘yingiz o‘sib qoldi
uz_008	Tog‘ vakillari ham qirilib bitdi
uz_009	To‘g‘risini aytsa, tushunishadi
uz_010	Ular shafqatsiz bo‘lishgandi
uz_011	Tajribalar muvaffaqiyatli o‘tadi
uz_012	Yolg‘on, nafrat, o‘ch olish maydonga chiqadi
uz_013	Xalq ularni la’natlab qarshi oladi
uz_014	Qirol islohotlarni bekor qiladi
uz_015	Idish yerga tushib, chilparchin bo‘ldi
uz_016	Uning nutqlarida ko‘tarinki ohanglar butkul yo‘qolgandi
uz_017	Avvaliga qo‘rqqanimdan bezgak tutgandek dag‘-dag‘ qaltiradim
uz_018	U bormi-yo‘qmi, birov parvo qilmadi
uz_019	Davlat tilini bilmaydigan shaxslar uchun tarjimon xizmatidan foydalanish huquqi ta’minlanadi.
uz_020	Demak, pandemiya Xitoyning dunyoda birinchi raqamli qudratga aylanishi ehtimolini yanada tezlashtirgan.
uz_021	U odamlarni tinch qo‘yaylik-da, masalaga iymondagi qat’iyat nuqtayi nazaridan boqaylik.
uz_022	Kitob birdek, san’atkor va muhandisga, tilshunos yoki sportchiga qiziq bo‘ladi.
uz_023	Shundan so‘ng zaiflashib qolgan.
uz_024	Fikrida qat’iy turib oldi.
uz_025	Osti so‘zi kelishik qo‘shimchasini olgan holatlarda ikki so‘z ajratib yoziladi.
uz_026	Bu masalada hatto sud ishi ham davom etmoqda.
uz_027	Lekin menimcha javobi etik tekislikda yotadi.
uz_028	Mirjalolning sinovlari og‘irroq bo‘lgan.
uz_029	Mushtariylar bilan savol-javob loyihasini tashkil etmoqchimiz.
uz_030	Restavratsiya ishlari O‘zbekiston musulmonlari idorasi kutubxonasining restavratsiya laboratoriyasida olib borildi.
uz_031	Birlashgan Millatlar Tashkilotining tarixi inson huquqlari universal qadriyat ekanini yaqqol isbotladi.
uz_032	Shu mezonlarga ko‘ra, O‘zbekistonda kambag‘allik darajasi yuqori.
uz_033	Ravishlar esa vergul so‘raydigan so‘zlar toifasiga kirmaydi.
uz_034	Ijtimoiy qo‘llab-quvvatlash ham yaxshi yo‘lga qo‘yilgan.
uz_035	Sopol tovog‘ing sinsa, dod sol.
