th_001	คุณคงว่างมากเลยสินะ
th_002	พรุ่งนี้เขาจะมาทำถนนหน้าบ้านนะ อาจจะเสียงดังหน่อย
th_003	ฉันพินิจในจินตนาการของฉัน
th_004	เรามาจากจังหวัดระยอง
th_005	เคลวินฟาเรนไฮต์หรือเซลเซียสซึ่งเป็นหน่วยอุณหภูมิที่ดีที่สุด?
th_006	นักท่องเที่ยวชาวตุรกีสามสิบสองคนไปเที่ยวฟาร์มไก่งวง
th_007	คำคมภาษาอังกฤษวันนี้
th_008	งานดีไซน์นี้น่าจะแพงเกินไป
th_009	เขาควรพิจารณาว่ามันรวมอยู่ในค่าเช่าแล้ว
th_010	ฝูงชนยืนรอบน้ำพุ
th_011	มันถูกปกคลุมด้วยน้ำแข็ง
th_012	ทำไม หล่อนจะเป็นใครได้
th_013	ฉันไม่รู้ว่าจะเปรียบเทียบเขากับอะไร
th_014	เทปกาวหมดแล้ว
th_015	ฉันไม่ได้โต้แย่งคดีที่เป็นสมมติฐานของคุณ
th_016	ประชากรกำลังเพิ่มขึ้นอย่างก้าวกระโดด
th_017	ขออภัยที่ขัดจังหวะการบรรยายของคุณเซอร์เอ็ดเวิร์ด
th_018	บ้านคือที่ที่หัวใจอยู่
th_019	หนึ่งพบว่ามันยากที่จะเสี่ยงต่อการคาดเดาครับ
th_020	ถ้าฆาตกรไม่ได้ซื้อมันมาแล้วเขาได้มันมาได้ยังไง
th_021	การจดจำและการสร้างใหม่
th_022	โฆษณาคริสต์มาสของจอร์นเลวิสเป็นที่นิยมอย่างมาก
th_023	พ่อของฉันขับรถฟอร์ดคอร์ติน่าในสมัยของเขา
th_024	รายการสีแดงเป็นกรอบสำหรับการตรวจสอบระบบนิเวศ
th_025	เขาวางหนังสือ
th_026	ปัจจุบันนี้ชาวสวนทุเรียนนิยมขายทุเรียนผ่านทางเครือข่ายสังคมออนไลน์
th_027	เราต้องอยู่กับพวกเขาเป็นเดือน
th_028	เราได้ไปเที่ยวร้านเหล้าที่แต่งร้านได้น่ารักสวยเก๋ ในนิวส์ฟอเรสต์
th_029	ฉันทำที่ครอบหูฟังหาย
th_030	ฟิลกับฉัน เราอยู่ที่นี่อย่างเรียบง่าย
th_031	รถขุดออกจากเหมืองด้วยกรวดหยาบในพลั่วของมัน
th_032	ต้นมะม่วงออกช่อแต่ไม่ติดผล
th_033	ระบบทั้งหมดออนไลน์แล้ว
th_034	ในทะเลทรายตะวันออกจะร้อนน้อยกว่า
th_035	ฉันได้รับใบปริญญาเมื่อห้าปีที่แล้ว
th_036	เขาถูกต่อย
th_037	แน่นอนอยู่แล้วว่าหลีกเลี่ยงไม่ได้
th_038	ความรับผิดชอบของดวงจันทร์ต่อโลกคือ การดูแลกระแสน้ำ
th_039	บางทีการตัดคำแม่นยำที่สุดอาจไม่สำคัญเท่าว่าจะเอาผลการตัดคำไปใช้ทำอะไร
th_040	มันปราศจากน้ำตาลมั้ย
th_041	ฉันจำหญิงสาวคนนั้นได้ดี
th_042	วันนี้แม่จะกลับบ้านเย็นคงไม่มีเวลาทำกับข้าว พ่อจะทำเอง
th_043	น้ำตาไหลลงมาที่หน้าของโดโรธี
th_044	ความทรงจำในวัยเด็กของฉันทำให้ฉันกลายเป็นฉันในวันนี้
