ps_001	امتحان څنګه وو؟
ps_002	د اوسني ترافیک پراساس، موږ باید په دېرشو دقیقو کې راورسو.
ps_003	نه به ته يې نه به زه يم
ps_004	د هغه چا و بيرېږه چې د خدايه نه بيرېږي.
ps_005	سل سرونه خشتوې ، يو هم خريلاى نسي.
ps_006	ها بل ويل ته به راسره يې.
ps_007	د مېږي چې اجل پوره سي په الوتلو پيل وکړي.
ps_008	د کور زمرى ، د سارا چغال.
ps_009	ټوله لکه ماش پر يوه خوا لغړي.
ps_010	غل او د کور خاوند دواړه دخدايه پرده غواړي.
ps_011	مار ته په لستوڼي کې ځاى مه ورکوه.
ps_012	تاسو کولی شئ نږدې یو ښه رستورانت ومومئ؟
ps_013	بخښنه غواړم.
ps_014	د ټگ په يوه لاس کې قرآن ،
ps_015	چهارشنبه زما د اونۍ غوره ورځ ده.
ps_016	زه ستا د انا په اړه بخښنه غواړم.
ps_017	ایا ستاسو په لید یا اوریدلو کې کوم بدلونونه شتون لري؟
ps_018	سل روپۍ پور کړه ، د ژمي شپه پر کور کړه.
ps_019	ميړه مړکه ، ميړانه يې مه ورکوه.
ps_020	پر بدو ښه کول د ميړنو کار دى.
ps_021	که د گيدړ په جنگ ورځې ، تياري د زمري ورته نيسه.
ps_022	نیلم بشیر د پښتو ژبې مشهوره شاعره ده.
ps_023	اجازه راکړئ چې دا ستاسو لپاره تنظیم کړئ، ایا دا غوره ده؟
ps_024	زه د تکلیف لپاره بخښنه غواړم.
ps_025	ایا تاسو کولی شئ پدې اړه توضیحات ورکړئ؟
ps_026	هوښيار نه ختا وزي ، چې ختا وزې غاښونه يې غبرگ وزي.
ps_027	د کور د خپگان او د کلي له بدۍ څخه ځان ساته.
ps_028	افغانستان کې هره ورځ د کرونا ویروس ډېرې پېښې ثبتېږي.
ps_029	ایا تاسو کولی شئ د تمرین ځینې تمرینونه وړاندیز کړئ؟
ps_030	ستاسو د بیرته ستنیدو تګلاره څه ده؟
ps_031	د خوړو خوند په مالگه ښه کېږي
ps_032	زه ستاسو او ستاسو د نوي پالتو لپاره ډیر خوشحاله یم، څنګه سمون لري؟
ps_033	مجبوره ته مه وايه چې غښتلى.
ps_034	هوښيار نه گرځي په تيره پسي ډير.
ps_035	نذیر بغلاني د طبیعت او انساني احساساتو په اړه لیکلي دي.
ps_036	په کندز ولایت کې پولیسو د وسلو یوه لویه زیرمه کشف کړه.
ps_037	سل ديي ومره ، يو دي مه مره.
ps_038	زه ژر کور ته راغلم.
ps_039	گوله دي د خپلي خولې سره برابره اخله.
ps_040	په پاليزه کې ښه هندوانه ، د شکاڼه په برخه وي.
ps_041	زموږ ټولنه ډېرکار ته اړتیا لري
ps_042	وخت لکه سره زر دى.
ps_043	ایا تاسو ورته محصولات لرئ؟
ps_044	د بخيل کاسه چپه ، لاس يې تور ، خوله يې سپيره.
ps_045	نوی کار څنګه دی؟
ps_046	اجازه راکړئ.
ps_047	دا کامل ښکاري، مننه.
ps_048	دوست ته حال وايه، د ښمن ته لاپي.
ps_049	ایا تاسو کولی شئ دا په خپلو الفاظو کې تشریح کړئ؟
ps_050	علت غورځي ، عادت نه غورځي.
ps_051	سره پينه غوآړي ، مالگه څکي ؟.
ps_052	او س نو ته ښه سوې که د خيرک مور.
ps_053	اول ديوال ، پسې نهال.
ps_054	د بدو پاى خراب دى.
ps_055	چي ولري سړي ، هم به کورت خورې هم غوړي.
ps_056	شانګله د خیبر پښتونخوا یوه غرنۍ سیمه ده.
ps_057	اجازه راکړئ تاسو ته وښیم چې موږ څه لرو.
ps_058	دا يې کواله په چا يې منې.
ps_059	سهار مو پخير؛ نن څنګه یي؟
ps_060	ایا تاسو کولی شئ حجم پورته کړئ؟
ps_061	نه دي د کلالۍ کړه ، نه د مالدارۍ.
ps_062	نن یو څه وختي له خوبه پاڅیدم.
ps_063	موږ يې غله ، تادي خداى راجوړ کړي.
ps_064	سلام، ایا تاسو دا محصول په ذخیره کې لرئ؟
ps_065	نن بازار بند دی.
ps_066	ته دکوم ځای یی؟ د ګل اباد؟
ps_067	چي خر نه لري ، خر نه ارزې.
ps_068	ایا تاسو کولی شئ ما ته د بریښنالیک له لارې فایل راولیږئ؟
ps_069	پوښتنه عيب نده ، نا پوهي عيب ده.
ps_070	پک نه پر سر تار لري، نه په چا کار لري.
ps_071	يو وايي اره ، بل وايي تېشه.
ps_072	زه ستاسو او ستاسو د نوي موټر لپاره ډیر خوښ یم.
ps_073	ماشوم د مور او پلار سره کورني کار کوي.
ps_074	ما د خپلو اعصابو د آرام کولو لپاره مراقبت وکړ.
ps_075	ایا تاسو کولی شئ په سکرین کې روښانتیا زیاته کړئ؟
ps_076	تر خه وخوره ، منگر وايه يې مه.
ps_077	اختيار ستا خولۍ دي خپله ، کې پر سر اېږدې کې پر کونه.
ps_078	زه ستاسو او ستاسو د نوي ماشوم لپاره ډیر خوشحاله یم.
ps_079	سیاح د ځایی پیښو په اړه پوښتنه کوي.
ps_080	ایا تاسو کولی شئ د نغدو پیسو ایستلو نږدې ماشین ومومئ؟
ps_081	د ښو غوښو ، ښه ښو روا وي.
ps_082	نوم د حق مودی رهبر وایو الله اکبر وایو الله اکبر
ps_083	گوښه ، د خداى ښه.
ps_084	زلزلې د افغانستان شمال ولړزاوه، چې له امله یې زیانونه واوښتل.
ps_085	بدمعامله ، بس معامله.
ps_086	د حقه ځغلو ، فتنې مو خوښي دي.
ps_087	ناوسه پر تړلي سخندر پهلوان دى.
ps_088	ایا تاسو کولی شئ ستونزه په تفصیل سره بیان کړئ؟
ps_089	ولې نه، دا شل دقیقې لاره ده.
ps_090	په يوه گل نه پسرلى کېږي
ps_091	د پښتو لوک سندرې د دودیزو سندرو ټولګه ده.
ps_092	ځاى سته ، جولايې نسته.
ps_093	کاروان د سپي په غپا نه راگرځي
ps_094	ما په کار کې د شا او خوا غونډو سره بوخته ورځ تیره کړه.
ps_095	والوته، څرخ وڅرخۍ انا والوته! والوته.
ps_096	د ټاکنو کمیسیون د راتلونکو ټاکنو لپاره نوي مقررات اعلان کړل.
ps_097	ایا تاسو د پوستکي یا پوستکي کوم بدلون لرئ؟
ps_098	فيل مرغ غوندي مه سه چې د بار په وخت کې ځان مرغ
ps_099	ایا تاسو کولی شئ یو ښه رستورانت وړاندیز کړئ؟
ps_100	د افغانستان د ښځو ټیم نړیوالو سیالیو ته لار پیدا کړه.
