ar_001	ما أطول عودك!
ar_002	ماتت عمتي منذ سنتين.
ar_003	الألمانية ليست لغة سهلة.
ar_004	طلبت منه أن يبعث الكتاب إلينا.
ar_005	.السيد إيتو رجل متعلم
ar_006	الحمد لله.
ar_007	في الوقت نفسه بدأت الرماح والسهام تقع بين الغزاة
ar_008	لا أريد أن أكون ثقيلَ الظِّل ، أريد أن أكون رائعًا! !
ar_009	خذ مظلة معك في حال أمطرت.
ar_010	وُلد الكلب منذ شهرين.
ar_011	لقد عاد كل العمال لمنازلهم عدا واحد
ar_012	المال لا يجلب السعادة لكن يسمح لنا ان نعيش تعاستنا برفاهية.
ar_013	لمن هذه الكتب ؟
ar_014	.اندلع حريق قرب منزلي
ar_015	ليس لدى آن أصدقاء لتلعب معهم.
ar_016	كان لديه شعر أشيب.
ar_017	لقد اعارني كتابين ، لكنني لم اقرأ ايا منهما بعد.
ar_018	كان من عادتها أنها كانت تزورني باستمرار.
ar_019	انتهت المباراة بالتعادل.
ar_020	وكانت هذه محادثتهم الوحيدة طوال الوجبة
ar_021	كلمني!
ar_022	.هذه نكتة
ar_023	هل معك ولاعة ؟
ar_024	هل كتبت الواجب بنفسك ؟
ar_025	.وجدنا الباب الرئيسي مقفل
ar_026	أتحس بوجع في بطنك ؟
ar_027	هل أنت سعيد ؟
ar_028	.يتحدث بسرعة كبيرة
ar_029	كنت أحب السباحة.
ar_030	الأبطال دائماً يصلون متأخرين.
ar_031	كل قطة لها شخصيتها المستقلة.
ar_032	سيُعقد اجتماعٌ غداً.
ar_033	إجابتك صحيحة.
ar_034	هل تعرفه ؟
ar_035	أيمكنك اللعب معي ؟
ar_036	أمطرت بكثرة هذا العام.
ar_037	ذهبت اليوم إلى الطبيب
ar_038	.ليس لدي علم من أين جاءت
ar_039	في أوروبا و أمريكا يعتبر الناس الكلاب أفراداً من العائلة.
ar_040	.هناك اثنا عشر شهرًا في السنة
ar_041	.هذا سؤال مهم جداً
ar_042	لماذا أنا ؟
ar_043	.هذا الفندق أفضل من ذاك الفندق
ar_044	أنا معتز يا دكتور.
ar_045	لا بد أن الريف جميل للغاية.
ar_046	.ساعدني أخي أن أحل واجبي
ar_047	.عليك أن تتحكم بنزواتك
ar_048	قابلته في المحطة.
ar_049	.وصل إلى لندن البارحة
ar_050	هذا دفتري.
ar_051	حان وقت الذهاب.
ar_052	إني أبحث عن كتاب عن اسبانيا في العصور الوسطى.
ar_053	هل صححت الإمتحانات ؟
ar_054	.هوايتها الوحيدة هي جمع الطوابع
ar_055	.ليس من السهل تعلم لغة جديدة بعد سن الخمسين
ar_056	سأذهب بغض النظر عن مجيئه.
ar_057	نزلت إلى الطابق الخامس.
ar_058	أيهما أسرع ، السفينة أم القطار ؟
ar_059	.لا أعرف ما مصدرها
ar_060	متى سيصلوا ؟
ar_061	.نظرت البنت حولها
ar_062	ما رأيك بمعطفي الجديد ؟
ar_063	.أحب شرب القهوة ساخنة
ar_064	هل هذه مظلتك ؟
ar_065	فلا والله ما فى العيش خير ولا الدنيا إذا ذهب الحياء
ar_066	آن لديها الكثير من الأصدقاء.
ar_067	اِكتب عنوانك هنا.
ar_068	سامحني من فضلك.
ar_069	طلبت منه المساعدة.
ar_070	أين أقرب معرض فني ؟
ar_071	فلنحاول!
ar_072	لم يسبق لها أن زارت هوكايدو.
ar_073	تمنيت لو أنه كان بإمكاني الذهاب إلى الحفلة الغنائية.
ar_074	.دراجته زرقاء
ar_075	بيتي تعزف البيانو.
ar_076	لربما أصبح معلماً ماهراً.
ar_077	متى قال أنه سيأتي ؟
ar_078	شعرها جاف.
ar_079	الإعجابُ هو "التوأم الوسيم" للحب.
ar_080	.لعب التنس البارحة
ar_081	.يبدو من منظر السماء أنها من الممكن أن تمطر اليوم بعد الظهر
ar_082	.أُعجبت عمتي بنجاحي
ar_083	.لقد أنهيت عملي للتو
ar_084	.أخذ الولد يبكي
ar_085	إنك تذكر عيوبي دائماً!
ar_086	.لم يعد يثق به أحد بعد الآن
ar_087	.السرير الذي نمت عليه بالأمس لم يكن مريحاً
ar_088	يعزف على البيانو بشكل جيد جداً
ar_089	.ذهبت أيضاً
ar_090	.يبدو أن السيد تناكا اجتاز الإمتحان
ar_091	أسرع و إلا فاتتك الطائرة.
ar_092	إحدى الحقائب فارغة تماماً.
ar_093	هو أخو تارو الأكبر.
ar_094	نحن نأكل لنعيش ، لا نعيش لنأكل.
ar_095	امتلأ قلبي بالسعادة.
ar_096	لا أتكلم الألمانية.
ar_097	! اِنتبه
ar_098	لا يمكنك السباحة هنا.
ar_099	يا لها من ذكرى!
ar_100	هذا سؤال جيد.
